Ticker,Strike,Bid,Ask,Last,IVM,Volm,Ticker,Strike,Bid,Ask,Last,IVM,Volm
HSI 12/28/23 C18900,18900,724,755,746,22.42869568,0,HSI 12/28/23 P18900,18900,1144,1219,1182,21.67412376,0
HSI 12/28/23 C19000,19000,692,713,705,22.46085548,3,HSI 12/28/23 P19000,19000,1199,1274,1237,21.54367256,2
HSI 12/28/23 C19100,19100,653,671,667,22.36732674,0,HSI 12/28/23 P19100,19100,1262,1336,1299,21.55577087,0
HSI 12/28/23 C19200,19200,618,635,628,22.36383629,1,HSI 12/28/23 P19200,19200,1324,1406,1361,21.61168098,0
HSI 12/28/23 C19300,19300,584,598,592,22.32302856,0,HSI 12/28/23 P19300,19300,1387,1465,1426,21.5118103,0
27-Mar-24 (209d); CSize 50,,,,,,,,,,,,,
HSI 3/27/24 C17400,17400,1926,2050,1974,24.76482582,0,HSI 3/27/24 P17400,17400,744,780,751,23.36079407,0
HSI 3/27/24 C17500,17500,0,0,1908,0,0,HSI 3/27/24 P17500,17500,777,811,790,23.22946358,0
HSI 3/27/24 C17600,17600,0,0,1843,0,0,HSI 3/27/24 P17600,17600,812,849,817,23.16565514,0
HSI 3/27/24 C17700,17700,0,0,1779,0,0,HSI 3/27/24 P17700,17700,848,882,852,23.0416832,0
HSI 3/27/24 C17800,17800,1670,1709,1690,23.3530426,0,HSI 3/27/24 P17800,17800,886,920,897,22.96206474,0
HSI 3/27/24 C17900,17900,1610,1647,1629,23.22319794,0,HSI 3/27/24 P17900,17900,923,960,933,22.87627411,0
HSI 3/27/24 C18000,18000,1550,1587,1569,23.08747292,0,HSI 3/27/24 P18000,18000,963,1004,969,22.83008957,0
HSI 3/27/24 C18100,18100,1492,1529,1511,22.96900368,0,HSI 3/27/24 P18100,18100,1004,1046,1009,22.75319672,0
HSI 3/27/24 C18200,18200,1436,1471,1454,22.84865952,0,HSI 3/27/24 P18200,18200,1047,1090,1047,22.69198227,0
HSI 3/27/24 C18300,18300,1381,1416,1399,22.74440193,0,HSI 3/27/24 P18300,18300,1091,1134,1101,22.61856461,0
HSI 3/27/24 C18400,18400,1328,1361,1345,22.63755989,0,HSI 3/27/24 P18400,18400,1136,1176,1144,22.51485825,4
HSI 3/27/24 C18500,18500,1271,1318,1298,22.58218956,0,HSI 3/27/24 P18500,18500,1183,1224,1187,22.46248245,0
HSI 3/27/24 C18600,18600,1223,1265,1252,22.49644661,0,HSI 3/27/24 P18600,18600,1231,1276,1244,22.43370247,0
